VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2.0,2020-05-01 00:27:48,2020-05-01 00:32:47,N,1.0,74,42,1.0,1.5,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,1.0,1.0,0.0
2.0,2020-05-01 00:39:13,2020-05-01 00:44:00,N,1.0,244,116,2.0,0.92,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2.0,1.0,0.0
2.0,2020-05-01 00:08:32,2020-05-01 00:14:04,N,1.0,75,41,1.0,1.55,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,1.0,1.0,0.0
2.0,2020-05-01 00:48:54,2020-05-01 00:53:26,N,1.0,159,42,1.0,1.64,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,0.0
2.0,2020-05-01 00:34:02,2020-05-01 00:46:59,N,1.0,75,213,1.0,5.45,17.0,0.5,0.5,0.0,0.0,,0.3,18.3,2.0,1.0,0.0
2.0,2020-05-01 00:43:08,2020-05-01 00:43:19,N,1.0,179,179,1.0,0.07,2.5,0.5,0.5,0.0,0.0,,0.3,3.8,2.0,1.0,0.0
2.0,2020-05-01 00:59:02,2020-05-01 01:04:30,N,1.0,74,75,1.0,1.39,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,0.0
2.0,2020-05-01 01:13:34,2020-05-01 01:17:57,N,1.0,74,168,1.0,1.25,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2.0,1.0,0.0
2.0,2020-05-01 01:42:04,2020-05-01 01:52:16,N,1.0,75,48,1.0,1.98,9.5,0.5,0.5,3.39,0.0,,0.3,16.94,1.0,1.0,2.75
2.0,2020-05-01 01:25:54,2020-05-01 01:29:32,N,5.0,82,82,1.0,0.56,10.0,0.0,0.0,0.0,0.0,,0.3,10.3,2.0,2.0,0.0
