int64_field_0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
0,1.0,2019-01-01 00:46:40.000000 UTC,2019-01-01 00:53:20.000000 UTC,1.0,1.5,1.0,false,151,239,1.0,7.0,0.5,0.5,1.65,0.0,0.3,9.95,
1,1.0,2019-01-01 00:59:47.000000 UTC,2019-01-01 01:18:59.000000 UTC,1.0,2.6,1.0,false,239,246,1.0,14.0,0.5,0.5,1.0,0.0,0.3,16.3,
2,2.0,2018-12-21 13:48:30.000000 UTC,2018-12-21 13:52:40.000000 UTC,3.0,0.0,1.0,false,236,236,1.0,4.5,0.5,0.5,0.0,0.0,0.3,5.8,
3,2.0,2018-11-28 15:52:25.000000 UTC,2018-11-28 15:55:45.000000 UTC,5.0,0.0,1.0,false,193,193,2.0,3.5,0.5,0.5,0.0,0.0,0.3,7.55,
4,2.0,2018-11-28 15:56:57.000000 UTC,2018-11-28 15:58:33.000000 UTC,5.0,0.0,2.0,false,193,193,2.0,52.0,0.0,0.5,0.0,0.0,0.3,55.55,
5,2.0,2018-11-28 16:25:49.000000 UTC,2018-11-28 16:28:26.000000 UTC,5.0,0.0,1.0,false,193,193,2.0,3.5,0.5,0.5,0.0,5.76,0.3,13.31,
6,2.0,2018-11-28 16:29:37.000000 UTC,2018-11-28 16:33:43.000000 UTC,5.0,0.0,2.0,false,193,193,2.0,52.0,0.0,0.5,0.0,0.0,0.3,55.55,
7,1.0,2019-01-01 00:21:28.000000 UTC,2019-01-01 00:28:37.000000 UTC,1.0,1.3,1.0,false,163,229,1.0,6.5,0.5,0.5,1.25,0.0,0.3,9.05,
8,1.0,2019-01-01 00:32:01.000000 UTC,2019-01-01 00:45:39.000000 UTC,1.0,3.7,1.0,false,229,7,1.0,13.5,0.5,0.5,3.7,0.0,0.3,18.5,
9,1.0,2019-01-01 00:57:32.000000 UTC,2019-01-01 01:09:32.000000 UTC,2.0,2.1,1.0,false,141,234,1.0,10.0,0.5,0.5,1.7,0.0,0.3,13.0,
10,1.0,2019-01-01 00:24:04.000000 UTC,2019-01-01 00:47:06.000000 UTC,2.0,2.8,1.0,false,246,162,1.0,15.0,0.5,0.5,3.25,0.0,0.3,19.55,
11,1.0,2019-01-01 00:21:59.000000 UTC,2019-01-01 00:28:24.000000 UTC,1.0,0.7,1.0,false,238,151,1.0,5.5,0.5,0.5,1.7,0.0,0.3,8.5,
12,1.0,2019-01-01 00:45:21.000000 UTC,2019-01-01 01:31:05.000000 UTC,1.0,8.7,1.0,false,163,25,1.0,34.5,0.5,0.5,7.15,0.0,0.3,42.95,
13,1.0,2019-01-01 00:43:19.000000 UTC,2019-01-01 01:07:42.000000 UTC,1.0,6.3,1.0,false,224,25,1.0,21.5,0.5,0.5,5.7,0.0,0.3,28.5,
14,1.0,2019-01-01 00:58:24.000000 UTC,2019-01-01 01:15:18.000000 UTC,1.0,2.7,1.0,false,141,234,1.0,13.0,0.5,0.5,1.0,0.0,0.3,15.3,
15,2.0,2019-01-01 00:23:14.000000 UTC,2019-01-01 00:25:40.000000 UTC,1.0,0.38,1.0,false,170,170,2.0,3.5,0.5,0.5,0.0,0.0,0.3,4.8,
16,2.0,2019-01-01 00:39:51.000000 UTC,2019-01-01 00:48:02.000000 UTC,1.0,0.55,1.0,false,170,170,1.0,6.5,0.5,0.5,1.95,0.0,0.3,9.75,
17,2.0,2019-01-01 00:46:00.000000 UTC,2019-01-01 00:49:07.000000 UTC,1.0,0.3,1.0,false,107,107,1.0,4.0,0.5,0.5,1.06,0.0,0.3,6.36,
18,2.0,2019-01-01 00:57:45.000000 UTC,2019-01-01 01:03:51.000000 UTC,1.0,1.42,1.0,false,170,141,1.0,6.5,0.5,0.5,1.56,0.0,0.3,9.36,
19,2.0,2019-01-01 00:16:16.000000 UTC,2019-01-01 00:25:57.000000 UTC,1.0,1.72,1.0,false,41,247,2.0,9.0,0.5,0.5,0.0,0.0,0.3,10.3,
20,2.0,2019-01-01 00:46:43.000000 UTC,2019-01-01 00:47:02.000000 UTC,1.0,0.06,1.0,false,116,42,2.0,2.5,0.5,0.5,0.0,0.0,0.3,3.8,
21,1.0,2019-01-01 00:48:01.000000 UTC,2019-01-01 01:00:23.000000 UTC,1.0,1.5,1.0,false,113,90,2.0,7.5,0.5,0.5,0.0,0.0,0.3,8.8,
22,1.0,2019-01-01 00:55:27.000000 UTC,2019-01-01 01:11:50.000000 UTC,1.0,1.2,1.0,false,161,170,1.0,10.5,0.5,0.5,2.95,0.0,0.3,14.75,
23,1.0,2019-01-01 00:19:55.000000 UTC,2019-01-01 00:57:56.000000 UTC,1.0,12.3,1.0,false,138,50,1.0,38.0,0.5,0.5,4.0,5.76,0.3,49.06,
